State,Number_state,Variant,Wave_number,Date_initial,Date_end,low_beta=transmission_rate_low,median_beta=transmission_rate_median,high_beta=transmission_rate_high,recovery_mean,un_observed_fraction,Number_observation
PUEBLA,21,Omicron(BA.1),Fourth,Dec-01-2021,Mar-28-2022,0.13,0.18,0.23,15,0.01,117
PUEBLA,21,BA.4-BA.5,Fifth,May-06-2022,Sep-28-2022,0.19,0.17,0.22,15,0.006,150
QUERETARO,22,,,,,,,,15,,
QUERETARO,22,,,,,,,,15,,
QUERETARO,22,Omicron(BA.1),Fourth,Nov-18-2021,Mar-20-2022,0.15,0.18,0.22,15,0.02,145
QUERETARO,22,BA.4-BA.5,Fifth,May-07-2022,Sep-07-2022,0.16,0.19,0.23,15,0.02,133
QUINTANA_ROO,23,,,,,,,,15,,
QUINTANA_ROO,23,Omicron(BA.1),Fourth,Nov-24-2021,Feb-28-2022,0.21,0.29,0.4,15,0.02,97
QUINTANA_ROO,23,BA.4-BA.5,Fifth,Apr-21-2022,Aug-20-2022,0.18,0.22,0.26,15,0.01,118
SAN_LUIS_POTOSI,24,,,,,,,,15,,
SAN_LUIS_POTOSI,24,,,,,,,,15,,
SAN_LUIS_POTOSI,24,,,,,,,,15,,
SAN_LUIS_POTOSI,24,,,,,,,,15,,
SAN_LUIS_POTOSI,24,Omicron(BA.1),Fourth,Nov-24-2021,Feb-28-2022,0.18,0.27,0.38,15,0.03,97
SAN_LUIS_POTOSI,24,BA.4-BA.5,Fifth,May-17-2022,Sep-07-2022,0.14,0.18,0.22,15,0.02,129
SINALOA,25,,,,,,,,15,,
SINALOA,25,,,,,,,,15,,
SINALOA,25,,,,,,,,15,,
SINALOA,25,Omicron(BA.1),Fourth,Nov-18-2021,Mar-04-2022,0.14,0.22,0.3,15,0.02,101
SINALOA,25,BA.4-BA.5,Fifth,Apr-28-2022,Sep-14-2022,0.14,0.16,0.18,15,0.02,146
SONORA,26,,,,,,,,15,,
SONORA,26,,,,,,,,15,,
SONORA,26,,,,,,,,15,,
SONORA,26,Omicron(BA.1),Fourth,Nov-24-2021,Mar-04-2022,0.14,0.22,0.3,15,0.02,101
SONORA,26,BA.4-BA.5,Fifth,May-07-2022,Sep-18-2022,0.11,0.15,0.19,15,0.01,141
TABASCO,27,,,,,,,,15,,
TABASCO,27,,,,,,,,15,,
TABASCO,27,,,,,,,,15,,
TABASCO,27,Omicron(BA.1),Fourth,Nov-18-2021,Mar-04-2022,0.2,0.29,0.4,15,0.02,107
TABASCO,27,BA.4-BA.5,Fifth,May-21-2022,Sep-01-2022,0.16,0.21,0.28,15,0.01,144
TAMAULIPAS,28,,,,,,,,15,,
TAMAULIPAS,28,,,,,,,,15,,
TAMAULIPAS,28,Omicron(BA.1),Fourth,Nov-24-2021,Mar-04-2022,0.13,0.2,0.29,15,0.01,101
TAMAULIPAS,28,BA.4-BA.5,Fifth,May-01-2022,Sep-10-2022,0.1,0.15,0.2,15,0.01,139
TLAXCALA,29,,,,,,,,15,,
TLAXCALA,29,,,,,,,,15,,
TLAXCALA,29,Omicron(BA.1),Fourth,Dec-02-2021,Mar-31-2022,0.14,0.19,0.26,15,0.01,120
TLAXCALA,29,BA.4-BA.5,Fifth,May-17-2022,Sep-09-2022,0.16,0.19,0.21,15,0.01,145
VERACRUZ,30,,,,,,,,15,,
VERACRUZ,30,,,,,,,,15,,
VERACRUZ,30,,,,,,,,15,,
VERACRUZ,30,Omicron(BA.1),Fourth,Nov-28-2021,Mar-19-2022,0.1,0.15,0.19,15,1,112
VERACRUZ,30,BA.4-BA.5,Fifth,May-07-2022,Aug-25-2022,0.17,0.2,0.23,15,0.01,139
YUCATAN,31,,,,,,,,15,,
YUCATAN,31,,,,,,,,15,,
YUCATAN,31,,,,,,,,15,,
YUCATAN,31,Omicron(BA.1),Fourth,Nov-28-2021,Mar-19-2022,0.1,0.21,0.34,15,0.02,112
YUCATAN,31,BA.4-BA.5,Fifth,Apr-28-2022,Aug-21-2022,0.14,0.18,0.22,15,0.01,129
ZACATECAS,32,,,,,,,,15,,
ZACATECAS,32,,,,,,,,15,,
ZACATECAS,32,Omicron(BA.1),Fourth,Dec-02-2021,Apr-15-2022,0.2,0.12,0.32,15,0.02,123
ZACATECAS,32,BA.4-BA.5,Fifth,May-14-2022,Oct-03-2022,0.12,0.15,0.2,15,0.01,150
